date,ndx,spx,ndx_drawdown,spx_drawdown,ndx_above_ma200,spx_above_ma200,ndx_deviation_ma200,spx_deviation_ma200,vix,vix_term,vix_term_days,credit_spread,rate_shock,aaii_valid,qqq_oi_ratio,qqq_oi_deviation,spy_oi_ratio,spy_oi_deviation,on_rrp_deviation,ndx_spx_deviation,iwm_spy_deviation,emotion,strength,triggered_conditions,target_position,action,verify_5d_status,verify_5d_ndx_return,verify_5d_spx_return,verify_5d_weighted_return,verify_5d_result,verify_5d_divergence,verify_10d_status,verify_10d_ndx_return,verify_10d_spx_return,verify_10d_weighted_return,verify_10d_result,verify_10d_divergence,verify_20d_status,verify_20d_ndx_return,verify_20d_spx_return,verify_20d_weighted_return,verify_20d_result,verify_20d_divergence
2026-04-24,27303.67,7165.08,-0.04,-0.05,53.0,57.0,10.49,6.85,18.71,0.88,0,2.86,False,False,1.51,,2.18,,-95.14,3.0,0.55,中性,普通,,80%,维持底仓正常定投,verified,1.49,0.91,1.31,correct,同步运行,verified,7.07,3.26,5.93,correct,科技领涨,verified,7.98,4.3,6.88,correct,科技领涨
2026-04-27,27303.67,7165.08,-0.04,-0.05,53.0,57.0,10.49,6.85,18.71,0.88,0,2.86,False,False,1.51,,2.18,,-95.14,3.0,0.55,中性,普通,,80%,维持底仓正常定投,verified,1.27,0.37,1.0,correct,同步运行,verified,7.38,3.33,6.16,wrong,科技领涨,verified,9.87,4.81,8.35,wrong,科技领涨
2026-04-28,27305.68,7173.91,-0.03,-0.07,53.0,57.0,10.4,6.91,18.02,0.87,0,2.86,False,False,1.51,,2.21,,-77.83,2.64,0.5,中性,普通,,80%,维持底仓正常定投,verified,3.65,1.69,3.06,correct,同步运行,verified,7.53,3.67,6.37,wrong,科技领涨,verified,10.8,5.28,9.15,wrong,科技领涨
2026-04-29,26944.47,7127.01,-1.36,-0.72,53.0,57.0,8.85,6.15,18.54,0.88,0,2.86,False,False,1.53,,1.87,,-77.83,1.73,-0.21,中性,普通,,80%,维持底仓正常定投,verified,5.19,3.21,4.6,correct,同步运行,verified,8.02,4.32,6.91,wrong,科技领涨,pending,,,,,
2026-04-30,27186.98,7135.95,-0.47,-0.6,52.47,53.67,9.73,6.21,18.81,0.89,0,2.85,False,False,1.5,-0.7,2.21,3.8,-54.69,2.27,-0.92,中性,普通,,80%,维持底仓正常定投,verified,4.05,1.78,3.37,correct,同步运行,verified,7.75,4.05,6.64,wrong,科技领涨,pending,,,,,
2026-05-01,27452.12,7209.01,-0.13,-0.15,56.43,57.25,10.7,7.22,16.89,0.84,0,2.82,False,False,1.5,-0.7,2.26,5.1,359.77,2.01,0.15,中性,普通,,80%,维持底仓正常定投,verified,5.5,2.33,4.55,correct,科技领涨,verified,5.11,2.47,4.31,correct,同步运行,pending,,,,,
2026-05-04,28013.35,7253.97,-0.02,-0.26,56.43,55.46,12.63,7.66,17.44,0.84,0,2.78,False,False,1.59,3.9,2.28,4.6,-15.7,2.67,0.69,中性,★ 弱,,100%,持有,verified,6.04,2.95,5.11,wrong,科技领涨,verified,4.86,2.81,4.24,correct,同步运行,pending,,,,,
2026-05-05,27587.84,7192.6,-0.84,-1.1,55.44,55.46,11.03,6.83,18.58,0.88,0,2.77,False,False,1.58,3.9,2.27,4.6,-16.65,2.26,-0.13,中性,普,,维持底仓正常定投,维持底仓正常定投,verified,3.75,1.95,3.21,correct,同步运行,verified,2.87,1.3,2.4,correct,同步运行,pending,,,,,
2026-05-06,28599.17,7365.12,-0.03,-0.06,55.44,55.86,14.86,9.23,17.39,0.85,0,2.77,False,False,1.64,6.5,2.39,8.1,114.24,2.95,0.93,中性,★ 弱,,100%,持有,verified,2.68,1.07,2.2,correct,同步运行,verified,2.44,0.92,1.99,correct,同步运行,pending,,,,,
2026-05-07,28563.95,7337.11,-0.91,-0.65,57.42,55.26,14.6,8.73,17.08,0.84,0,2.75,False,False,1.63,5.2,2.41,8.1,1.04,2.92,-0.37,中性,★ 弱,,100%,持有,verified,3.56,2.24,3.16,correct,同步运行,verified,2.78,1.48,2.39,correct,同步运行,pending,,,,,
